,name,price,location,size,floor,terrace,age
210,ライオンズマンション豊田南,2698,東京都日野市豊田１,70.21,3LDK,14.26,2001年2月
211,ニックハイム町屋,2699,東京都荒川区町屋３,62.64,3LDK,5.07,1982年9月
212,プラネッタシティめじろ台,2699,東京都八王子市東浅川町,80,3LDK,11.2,2008年2月
213,メガロン御殿山,2699,東京都品川区北品川１-1-10,32.82,1DK,7.77,1979年2月
214,祐天寺フラワーマンション,2699,東京都世田谷区下馬４,36.54,1LDK,-,1969年8月
215,モラード花小金井,2699,東京都小平市花小金井４-34-9,60.18,3LDK,5.52,2002年9月
216,ハイツ小岩,2699,東京都江戸川区北小岩１,79.57,3LDK,2.53,1975年9月
217,ヒルサイドテラス豊ヶ丘３号棟,2699,東京都多摩市豊ヶ丘１,96.85,4LDK,27.38,1985年3月
218,クリオ府中弐番館,2700,東京都府中市是政５,65.31,3LDK,2.4,1996年3月
219,ライオンズマンション荻窪,2720,東京都杉並区荻窪５,43.74,2DK,7.56,1973年10月
220,プレシス東村山,2750,東京都東村山市久米川町３,66.78,3LDK,10.62,2012年8月
221,コンテ西葛西,2750,東京都江戸川区西葛西３,69.17,3LDK,11.01,1980年8月
223,西日暮里１・４・３,2780,東京都荒川区西日暮里１-4-3,50.12,2DK,1,1992年4月
224,モアクレスト南小岩,2780,東京都江戸川区南小岩５-7-15,86.21,4LDK,12.32,1996年4月
225,マンションＶＩＰ目黒,2780,東京都目黒区下目黒４-1-16,45.66,2LDK+S（納戸）,3,1974年4月
226,阿佐ヶ谷陵雲閣マンション,2780,東京都杉並区成田東５-42-10,46.35,2DK,4.5,1973年3月
227,マンションヴィップ目黒,2780,東京都目黒区下目黒４,45.66,2LDK,3,1974年4月
228,ドラゴンマンション光が丘公園壱番館,2780,東京都練馬区旭町１-40-12,62.52,3LDK,5.29,1998年9月
229,ダイヤパレス府中Ⅱ,2780,東京都府中市美好町３,62.55,3LDK,7.2,1995年9月
230,ニューイースタンハイツ,2780,東京都新宿区新宿７-26-59,52.97,1LDK,4.2,1977年8月
231,ライオンズ竹ノ塚ブロッサムシティ,2780,東京都足立区西保木間２,67.62,3LDK,10.62,2016年4月
232,なぎさニュータウン,2780,東京都江戸川区南葛西７,70.47,3LDK,9.75,1977年2月
233,コスモ亀有,2780,東京都足立区東和４,62.1,3LDK,7.21,1986年11月
234,パラスト蒲田,2780,東京都大田区蒲田５,37.4,1LDK,8.16,1979年1月
235,パテラ八王子,2780,東京都八王子市万町,64.13,2LDK+S（納戸）,10.79,2013年2月
236,ライオンズガーデン北綾瀬第２,2780,東京都足立区辰沼１,70.9,3LDK,27.57,1998年1月
237,アルスつくし野デュープレックス,2780,東京都町田市小川１,76.68,3LDK,12.6,2002年8月
238,ライオンズマンション西新井高道公園,2780,東京都足立区西新井４,60.08,3LDK,9.15,1998年3月
239,プレセダンヒルズ南大沢,2780,東京都八王子市鑓水２,111.46,4LDK,24.97,2004年2月
240,リレント早稲田,2780,東京都豊島区高田１,42.84,2LDK,4.08,1977年4月
241,コート田無グリーンテラス,2790,東京都西東京市芝久保町５,72.92,3LDK,13.17,1999年6月
242,ライオンズマンション小岩,2790,東京都江戸川区西小岩１,60.01,2LDK+S（納戸）,7.96,1977年8月
243,サンピア幡ヶ谷公園,2790,東京都渋谷区幡ヶ谷３-39-4,32.84,1DK,1.98,1989年11月
244,コープ野村梅島,2790,東京都足立区梅田７-25-13,72.76,3LDK,8.75,1982年5月
245,ベルザ多摩センター,2795,東京都多摩市山王下１,59,2LDK,7.77,1995年6月
246,東池袋リリエンハイム,2798,東京都豊島区東池袋２-45-10,43,1LDK,2.55,1984年2月
247,サンレイ高野台,2798,東京都練馬区高野台４,54.84,2LDK,6.93,1996年3月
248,ブライトコート国立,2799,東京都国分寺市光町１,75.94,3LDK,16.74,1990年12月
249,平井パークホームズ,2799,東京都墨田区立花３,51.61,2DK,13.9,1984年9月
250,ガラ・シティ高井戸,2799,東京都杉並区高井戸西１-2-1,44.45,2DK,5.6,1996年10月
251,渋谷藤和コープ,2799,東京都渋谷区円山町23-9,34.56,1LDK,3.51,1971年10月
252,目白スターハイツ,2799,東京都新宿区中落合１-12-13,56.4,2LDK,3,1965年1月
253,メゾン・アルカディア,2799,東京都墨田区向島３-20-1,41.04,1LDK,6.5,1995年12月
254,西片住宅,2799,東京都文京区西片２-16-12,58.43,2LDK,3,1967年6月
255,ブライトコート国立,2799,東京都国分寺市光町１,75.94,3LDK,16.74,1990年12月
256,西片住宅　最上階,2799,東京都文京区西片２,58.43,2LDK,-,1967年6月
257,クリオ南多摩,2800,東京都稲城市大丸,62.04,3LDK,11.22,2010年3月
258,マンション五反田,2850,東京都品川区西五反田８,39.8,2DK,6.83,1979年7月
259,エンゼルハイム志村坂上,2860,東京都北区桐ケ丘１,67.47,3LDK,16.48,1998年3月
260,西武東大和ハイツ,2880,東京都東大和市桜が丘１,75.6,3LDK,14.08,2000年2月
261,ライオンズマンション松原,2880,東京都世田谷区松原２-34-12,47.84,1LDK,7.19,1973年4月
262,マートルコート新小岩,2880,東京都葛飾区新小岩４,62.17,2LDK,7.14,1993年11月
263,国分寺マンション,2880,東京都国分寺市南町２,64.73,3LDK,-,1969年8月
264,セザール第２上北沢,2880,東京都世田谷区八幡山１-5-18,54.59,2LDK,5.3,1991年3月
265,トーア明大前マンション,2880,東京都世田谷区松原１-34-16,44.5,2LDK,5.02,1978年8月
266,ルックハイツ金町,2880,東京都葛飾区金町６,57.4,3LDK,6.72,1980年3月
267,オアシスマンションプレジデント山王,2880,東京都大田区山王４-17-2,66.48,2LDK,7.8,1974年8月
268,ディアレスト鹿浜,2880,東京都足立区鹿浜８,64.94,3LDK,9.52,2002年5月
269,グリーンコーポ多摩センター,2880,東京都多摩市鶴牧１,62.31,3LDK,8.87,1994年10月
270,東大島ハイライズ,2880,東京都江東区東砂２,61.6,3LDK,6.72,1982年7月
271,竹の塚パーク・ホームズ,2880,東京都足立区伊興１,67.13,3LDK,12.67,1991年3月
272,三鷹駅７分　専有４３.９０㎡　三鷹白百合マンション,2880,東京都三鷹市下連雀４,43.9,1LDK,4.49,1981年6月
273,国分寺マンション,2880,東京都国分寺市南町２,64.73,3LDK,-,1969年8月
274,西武東大和ハイツ,2880,東京都東大和市桜が丘１,75.6,3LDK,14.08,2000年2月
275,府中武蔵野台ダイヤモンドマンション,2880,東京都府中市小柳町３,65.08,3LDK,12,2006年3月
276,エンゼルハイム南砂,2880,東京都江東区南砂１,63.25,3LDK,7.32,1987年6月
277,レーベンハイム東伏見Ⅰ,2890,東京都西東京市東伏見４,58.32,3LDK,11.52,2000年5月
