,name,size,terrace,age_1,ku,room,Living,Dining,Kitchen,Service,No.ofRooms,price
16583,オープンレジデンス中野道玄町,84.13,5,3102 days,中野,2,1,1,1,1,6,5580
16584,ブリリア有明シティタワー,55.94,14.8,2250 days,江東,2,1,1,1,0,5,5580
16585,東京フロンティアシティパーク＆パークス,85.03,12.8,4807 days,荒川,3,1,1,1,0,6,5580
16586,藤和シティホームズ本郷,58.8,6.72,9251 days,文京,1,1,1,1,1,5,5580
16587,メイゾン豊玉,104.87,1,13664 days,練馬,5,1,1,1,0,8,5580
16588,クオリア桜新町,53.85,4.8,5720 days,世田谷,1,1,1,1,0,4,5580
16589,大井町ファルベ,71.37,4.8,3986 days,品川,3,1,1,1,0,6,5580
16591,オープンレジデンス中野道玄町,84.13,5,3102 days,中野,2,1,1,1,1,6,5580
16592,オープンレジデンス中野道玄町,84.13,5,3102 days,中野,3,1,1,1,0,6,5580
16593,ザ 湾岸タワー　レックスガーデン,61.61,4.16,3071 days,江東,2,1,1,1,0,5,5580
16594,シャンボール三田,53.65,12.96,15490 days,港,2,1,1,1,0,5,5580
16595,ネベル巣鴨,56.48,6.21,1307 days,豊島,2,1,1,1,0,5,5580
16596,東京フロンティアシティパーク＆パークス,85.03,12.8,4807 days,荒川,3,1,1,1,0,6,5580
16597,パルフェメゾン用賀,69.99,2.2,13938 days,世田谷,2,1,1,1,0,5,5580
16598,ベルハイム元浅草,67.97,9.7,7698 days,台東,3,1,1,1,0,6,5580
16599,グランドメルシー駒沢,84.43,6,11776 days,世田谷,2,1,1,1,0,5,5580
16600,大井町ファルベ,71.37,-,3986 days,品川,3,1,1,1,0,6,5580
16601,オープンレジデンス中野道玄町,84.13,-,3102 days,中野,2,1,1,1,1,6,5580
16602,オープンレジデンス中野道玄町,84.13,-,3102 days,中野,2,1,1,1,1,6,5580
16603,ソフィア太子堂,75.52,8.71,12872 days,世田谷,3,1,1,1,0,6,5580
16604,バロール代々木,66.42,6.48,14698 days,渋谷,1,1,1,1,0,4,5580
16605,大井町ファルベ,71.37,-,3986 days,品川,3,1,1,1,0,6,5580
16606,大井町ファルベ,71.37,-,3986 days,品川,3,1,1,1,0,6,5580
