,name,size,terrace,age_1,ku,room,Living,Dining,Kitchen,Service,No.ofRooms,price
0,シャトレーイン東京・笹塚,14.52,-,12387 days,渋谷,1,0,0,0,0,1,770
2,ライオンズマンション西日暮里北,19.6,3.36,11442 days,荒川,1,0,0,1,0,2,880
8,プレール新中野,17.45,2.5,11291 days,中野,1,0,0,1,0,2,1280
9,ニュー荻窪フラワーホーム,31.44,5.51,17894 days,杉並,1,0,1,1,0,3,1280
10,ライオンズマンション西日暮里北,44.62,11.01,11442 days,荒川,2,0,1,1,0,4,1380
11,カルム赤坂,21.46,-,16312 days,港,1,0,0,0,0,1,1380
12,ライオンズマンション青戸第２,28.72,3.74,12295 days,葛飾,1,0,0,1,0,2,1398
13,田町サンハイツ,17.36,2.7,16373 days,港,1,0,0,0,0,1,1450
14,吾妻橋マンション,33.46,2.96,18200 days,墨田,1,1,1,1,0,4,1480
16,文京第３ライオンズマンション,20.07,2.75,13968 days,文京,1,0,0,0,0,1,1498
18,シャトレー上野,22.36,2.35,14303 days,台東,1,0,0,1,0,2,1580
26,シャンボール旗の台,34.3,3.15,18655 days,品川,1,0,0,0,0,1,1600
29,ダイアパレス四谷舟町,27.42,3.36,15309 days,新宿,1,0,0,0,0,1,1680
34,グリーンピア千寿　リノベーション済み,50.62,1.91,14606 days,足立,2,1,1,1,0,5,1680
35,ガーデン鷹乃羽,14.27,4.35,11107 days,新宿,1,0,0,0,0,1,1680
36,ライオンズプラザ芝公園,18.97,2.61,14303 days,港,1,0,0,0,0,1,1698
40,武蔵野グリーンハイツ,33.94,-,16982 days,世田谷,1,1,1,1,0,4,1780
41,祐天寺ハイツ,31.24,2.21,20208 days,目黒,1,1,1,1,0,4,1780
42,祐天寺ハイツ,31.15,2,20208 days,目黒,1,0,1,1,0,3,1780
44,＼弊社売主／「スカイタウン竹の塚」ローン支払い月々４…,59.41,7.26,16860 days,足立,2,1,1,1,0,5,1790
45,お花茶屋スカイマンション,55,5.5,14882 days,葛飾,3,0,1,1,0,5,1790
46,梅田マンション,49.06,15.05,17255 days,足立,2,0,1,1,0,4,1799
47,ライオンズマンション中央本町,62.1,12.32,12903 days,足立,2,1,1,1,0,5,1799
49,東神ダイアパレス新小岩,58.7,5.5,14606 days,江戸川,3,0,1,1,0,5,1880
50,中野坂上ダイヤハイツ,25.16,2.43,18078 days,中野,1,0,1,1,0,3,1880
52,エミネス北綾瀬,51.71,5.13,14882 days,足立,3,1,1,1,0,6,1880
55,アイビス富士見台,43.95,2.94,17773 days,練馬,1,1,1,1,1,5,1880
58,梅島ハイツ,53.04,6.6,17104 days,足立,3,0,1,1,0,5,1880
60,白鬚橋ローヤルコーポ,52.57,7.45,15217 days,台東,2,0,1,1,0,4,1890
61,ヴェラハイツ日本橋,20.9,2.5,15003 days,中央,1,0,0,1,0,2,1898
64,ウィン青山,15.5,2.09,15003 days,港,1,0,0,0,0,1,1900
71,千駄木センチュリー２１,24.42,3.4,14029 days,文京,1,0,0,1,0,2,1980
76,シャンボール南品川,30.96,3.24,18596 days,品川,1,0,1,1,0,3,1998
80,ハイツ新富町,28.38,6.14,14486 days,中央,1,0,0,0,0,1,2090
81,ハイツ新富町,28.38,6.14,14486 days,中央,1,0,0,0,0,1,2090
84,大森フラワーマンション,43.2,4.7,16982 days,大田,2,0,1,1,0,4,2099
86,ライオンズマンション飯田橋,32.4,5.4,14394 days,新宿,1,0,1,1,0,3,2140
88,マンション弦巻,35,5.4,17286 days,世田谷,1,1,1,1,0,4,2180
89,ライオンズマンション王子,36.12,4.8,14851 days,北,2,0,1,1,0,4,2180
90,ニックハイム大森海岸,39.6,6.5,17104 days,品川,1,1,1,1,0,4,2180
92,エンゼルハイム金町第２,61.6,-,9799 days,葛飾,3,0,1,1,0,5,2180
95,ジョイフル門前仲町第1,34.44,6.48,15187 days,江東,1,1,1,1,0,4,2180
96,東中野第二コーポ,35.2,5.4,17651 days,中野,1,0,1,1,0,3,2180
97,ファミール築地,39.93,3.24,18047 days,中央,1,0,1,1,0,3,2180
100,高円寺北コーポ,30.13,2.15,18290 days,杉並,1,1,1,1,0,4,2180
101,ライオンズマンション大森,36.49,4.38,15552 days,品川,1,0,1,1,0,3,2180
103,エスエスケーグリーンパーク竹の塚,72.79,9.87,9889 days,足立,4,1,1,1,0,7,2180
104,新宿フラワーハイホーム,27.7,5.6,15095 days,新宿,1,0,0,0,0,1,2180
106,ジュネス第２馬込,38.88,3.78,14729 days,大田,1,1,1,1,0,4,2198
107,ライオンズマンション錦糸町第５,37.32,3.28,13329 days,墨田,1,0,1,1,0,3,2198
108,江古田ビル,48.62,-,20361 days,中野,2,1,1,1,0,5,2199
109,文京久保田マンション,36.89,4.5,16921 days,文京,1,1,1,1,0,4,2199
110,リレント早稲田,39.93,3.66,16008 days,豊島,1,1,1,1,0,4,2199
111,雪谷第２コーポラス,39.96,3.08,18231 days,大田,1,0,1,1,0,3,2199
113,野沢サマリヤマンション,48,6.48,17743 days,世田谷,2,1,1,1,0,5,2199
120,ハイツ池の上,36.56,-,20177 days,世田谷,1,0,1,1,0,3,2280
121,阿佐ヶ谷ローヤルコーポ,38.83,4.56,16190 days,杉並,2,0,0,1,0,3,2280
123,パールマンション亀戸,51.02,3.48,14213 days,江東,2,1,1,1,0,5,2280
124,蒲田フラワーマンション,51.3,7.02,15248 days,大田,2,1,1,1,0,5,2280
125,ドルミ錦糸町長谷川ビル,32.72,17.99,15034 days,墨田,1,0,1,1,0,3,2280
127,西武ルミエール武蔵関　,53.55,12.5,15278 days,練馬,2,1,1,1,0,5,2280
129,ライオンズマンション桜上水,45,4.05,16617 days,杉並,2,0,1,1,0,4,2280
130,北小岩パークホームズ,80.46,8.02,10589 days,江戸川,2,1,1,1,0,5,2280
131,ライオンズマンション梅島第２,54.15,5.7,11929 days,足立,2,1,1,1,0,5,2290
132,秀和綾瀬レジデンス,57.2,11.69,13817 days,足立,3,0,1,1,0,5,2290
134,ヴィラロイヤル三番町,20.85,2.79,15917 days,千代田,1,0,0,1,0,2,2298
135,トーカンマンション駒込,29.58,2.35,14668 days,豊島,1,0,0,0,0,1,2298
136,石神井ゴールデンハイツ,56.51,4.86,14547 days,練馬,3,0,1,1,1,6,2300
138,東建ニューハイツ九段,25.67,4.32,14972 days,千代田,1,0,0,0,0,1,2300
139,ベルフラワー鹿浜,75.67,6.97,11319 days,足立,3,1,1,1,0,6,2349
140,新高円寺ダイカンプラザＣｉｔｙ,31.04,3.88,10681 days,杉並,1,0,1,1,0,3,2350
141,ライオンズヴィアーレ北綾瀬弐番館,68.38,11.16,6694 days,足立,2,1,1,1,1,6,2350
142,馬込マンション,48.6,5.4,16921 days,大田,1,1,1,1,1,5,2380
143,グリーンパーク西綾瀬Ⅱ,62.74,7.95,11564 days,足立,2,1,1,1,0,5,2380
144,綾瀬ダイカンプラザ,62.7,5.94,14517 days,足立,3,1,1,1,0,6,2380
146,若林ハイホーム　Ａ棟,37.11,2.65,19265 days,世田谷,1,1,1,1,0,4,2380
148,奥戸ハウス,62.72,8.4,14943 days,葛飾,3,1,1,1,0,6,2380
151,ニックハイム大森海岸,43.2,4.5,17104 days,品川,2,0,1,1,0,4,2380
153,カインドステージ竹ノ塚,73.35,12.54,6482 days,足立,3,1,1,1,0,6,2380
154,バルミー赤坂,28.09,-,16039 days,港,1,0,0,0,0,1,2380
155,新大橋永谷マンション,40.5,4.95,17316 days,江東,1,1,1,1,0,4,2390
157,コスモ平井,59.45,2.8,12203 days,江戸川,3,0,1,1,0,5,2390
158,ライオンズマンション六本木,26.56,2.07,15764 days,港,1,0,0,0,0,1,2398
159,市ヶ谷春日マンション,34.48,2.1,17865 days,新宿,1,1,1,1,0,4,2398
161,メゾン本駒込,40.95,-,16525 days,文京,1,1,1,1,0,4,2399
162,グラード舎人,56.93,7.4,5233 days,足立,2,1,1,1,0,5,2399
163,ハイツ小岩,79.57,2.53,16586 days,江戸川,3,1,1,1,0,6,2399
164,コスモ西新井クレステイジ,81.03,5.04,11199 days,足立,3,1,1,1,0,6,2399
166,ダイアパレス錦糸町,36.11,4.91,15217 days,墨田,2,0,1,1,0,4,2430
167,エンゼルハイム大森町第一,40.5,-,15309 days,大田,2,0,1,1,0,4,2430
168,エンゼルハイム大森町第一,40.5,-,15309 days,大田,2,0,1,1,0,4,2430
170,秀和奥沢レジデンス,39.9,2.7,19051 days,世田谷,1,1,1,1,0,4,2450
171,動画で内見出来ます♪セザール西新井　リフォーム済中古…,60.52,7.74,9281 days,足立,3,1,1,1,0,6,2480
172,トーエイ大森コープ,42.08,4.68,15794 days,大田,2,0,1,1,0,4,2480
173,トーア千住マンション,54.88,7.6,14517 days,足立,2,1,1,1,0,5,2480
175,コープ野村綾瀬,63,8.4,15187 days,葛飾,3,1,1,1,0,6,2480
176,ライオンズマンション柴又第５,85.71,13.18,11442 days,葛飾,4,1,1,1,0,7,2480
179,扇サンハイツ,61.6,7.84,14121 days,足立,3,1,1,1,0,6,2480
181,カーサ武蔵関,52.8,6.05,17347 days,練馬,2,1,1,1,0,5,2480
182,スカイコート芝壱番館,21.32,3.16,6663 days,港,1,0,0,1,0,2,2480
186,シャンボール馬込,42.6,2.4,14394 days,大田,2,0,1,1,0,4,2480
188,グレース北小岩,55.58,9.29,9950 days,江戸川,1,1,1,1,0,4,2480
189,コープ野村綾瀬,63,8.4,15187 days,葛飾,3,1,1,1,0,6,2480
192,パークサイド六本木,23.76,2.52,15187 days,港,1,0,0,0,0,1,2480
194,ビレッタ仲六郷,41.27,7.34,16860 days,大田,2,0,1,1,0,4,2490
195,GSハイム第二金町,55.62,5.26,13117 days,葛飾,3,1,1,1,0,6,2490
197,ネオコーポ亀有,61.82,7.84,15886 days,足立,3,1,1,1,0,6,2490
198,ネオコーポ亀有,61.82,7.8,15886 days,足立,3,1,1,1,0,6,2490
199,綾瀬グランドハイツ,64.4,6.72,14606 days,足立,3,1,1,1,0,6,2490
200,日商岩井第二新小岩マンションA棟,59,7.42,16709 days,江戸川,3,1,1,1,0,6,2490
201,梅島ビューハイツ,61.6,7.6,14851 days,足立,3,1,1,1,0,6,2490
202,東京ベイビュウ,33,3.46,14943 days,港,2,0,0,1,0,3,2490
203,アルビオンシティ大泉学園,60.5,-,8977 days,練馬,3,1,1,1,0,6,2490
204,藤和南大塚コ－プ,36.54,3.72,15064 days,豊島,1,1,1,1,0,4,2490
205,亀有グリーンマンション,64.4,6.72,14091 days,足立,2,1,1,1,0,5,2490
206,マンション第２明大前,29.16,5.4,16860 days,世田谷,1,0,1,1,0,3,2490
208,上野毛マンション,47.15,3.8,21212 days,世田谷,1,1,1,1,0,4,2499
209,玉川グリーンハイツ,46.12,2.35,16433 days,世田谷,2,1,1,1,0,5,2499
212,フローラ小松川,54.76,16.95,17043 days,江戸川,2,1,1,1,0,5,2499
213,玉川グリーンハイツ,46.12,2.35,16433 days,世田谷,2,1,1,1,0,5,2499
217,マンション松本,41.8,10.84,16921 days,新宿,1,1,1,1,0,4,2500
218,ハイネス大塚,40.74,5.4,16770 days,豊島,2,0,1,1,0,4,2549
220,ハイマート入谷,40.18,5.19,12872 days,台東,2,0,0,1,0,3,2550
222,シティマンション東中野,33.15,7.5,15917 days,中野,1,1,1,1,0,4,2580
223,グリーンパーク水元９,79.32,10.6,10985 days,葛飾,3,1,1,1,0,6,2580
226,初台ハイツ,35.05,6.48,17681 days,渋谷,1,1,1,1,0,4,2580
227,パルムハウス文京,47.43,5.5,15399 days,文京,1,1,1,1,0,4,2580
228,千駄ヶ谷平和マンション,36.21,1,19843 days,渋谷,1,1,1,1,0,4,2580
229,マンション小滝橋,36.97,7,16617 days,新宿,1,1,1,1,0,4,2580
230,パルムハウス文京,47.43,5.5,15399 days,文京,1,1,1,1,0,4,2580
231,北砂四丁目住宅,54,4.5,17773 days,江東,1,1,1,1,1,5,2580
232,藤和赤坂コープ,34.85,4.1,13664 days,港,1,0,0,0,0,1,2580
233,朝日プラザ北新宿,30.65,1.62,8854 days,新宿,1,0,1,1,0,3,2580
234,竜泉第１２ウィーンハイツ,42.51,4.97,14241 days,台東,1,1,1,1,0,4,2590
236,【本日ご見学可能です！】宇喜田住宅,58.27,9.6,16921 days,江戸川,2,1,1,1,0,5,2590
237,エンゼルハイム鹿浜第11,63.09,9.41,8673 days,足立,2,1,1,1,0,5,2590
238,ディアレスト鹿浜,61.48,-,6847 days,足立,3,1,1,1,0,6,2590
239,ディアレスト鹿浜,61.48,-,6847 days,足立,3,1,1,1,0,6,2590
240,ガーデンプラザ柴又壱番館,57.43,9.49,13237 days,葛飾,3,1,1,1,0,6,2590
241,秀和高円寺レジデンス,36,-,18047 days,杉並,1,1,1,1,0,4,2599
242,秀和高円寺レジデンス,36,-,18047 days,杉並,1,1,1,1,0,4,2599
243,カーサ武蔵関,52.08,6.05,17347 days,練馬,2,1,1,1,0,5,2599
244,山王アイチマンション,44.7,4.25,17347 days,大田,2,0,1,1,0,4,2599
245,メゾン池袋要町,42.56,3.24,14091 days,豊島,1,1,1,1,0,4,2599
246,カーサ武蔵関,52.08,6.05,17347 days,練馬,2,1,1,1,0,5,2599
247,染井コーポ,56.29,-,18900 days,豊島,2,1,1,1,0,5,2599
248,秀和高円寺レジデンス,36,5.52,18047 days,杉並,1,1,1,1,0,4,2599
249,染井コーポ　,56.29,-,18900 days,豊島,2,1,1,1,0,5,2599
250,染井コーポ,56.29,-,18900 days,豊島,2,1,1,1,0,5,2599
252,クレールメゾン品川,41.25,6.32,16709 days,品川,2,0,1,1,0,4,2600
253,トーア滝野川マンション,39.6,6.32,14303 days,北,2,0,1,1,0,4,2640
254,クリオ新小岩壱番館,78.72,-,8369 days,江戸川,3,1,1,1,0,6,2650
255,ライオンズマンション隅田公園,49.11,-,13787 days,墨田,2,0,1,1,0,4,2680
257,高輪グランドハイツ,33,1.68,18259 days,港,1,0,0,0,0,1,2680
261,西新井大師扇スカイハイツ,61.6,7.6,14790 days,足立,3,1,1,1,0,6,2680
262,両国マンション,54.48,4.21,20481 days,墨田,1,1,1,1,0,4,2680
268,ワコーレ町屋,60.84,-,12326 days,荒川,2,1,1,1,1,6,2680
271,エルミ大森中央,39.33,2.98,11776 days,大田,1,1,1,1,0,4,2690
272,ダイアパレス　ラ・セーヌ小台公園,68.18,10.65,7667 days,足立,3,1,1,1,0,6,2690
273,サンデュエル東京ザ・プレミオステージ,66.97,7.4,4532 days,足立,3,1,1,1,0,6,2690
275,ハイツ中野,35.88,4.68,17378 days,中野,1,0,1,1,0,3,2690
276,NICアーバンハイム青砥,52.64,8.7,11776 days,葛飾,2,1,1,1,0,5,2690
278,ライオンズマンション馬事公苑第２,43.84,12.65,13876 days,世田谷,1,1,1,1,0,4,2690
280,グラン・ドムール五反野,64.81,7.41,12265 days,足立,3,1,1,1,0,6,2690
281,グローリア初穂音羽,42.22,2.55,13726 days,文京,1,1,1,1,0,4,2698
282,セザール第5五反野,69.04,5.23,8185 days,足立,2,1,1,1,1,6,2699
283,集成第一マンション,50.32,4.72,17255 days,杉並,2,1,1,1,0,5,2699
284,カルム築地,31.94,2.98,14394 days,中央,1,1,1,1,0,4,2699
285,レイクヒル長原,38.88,6.48,18351 days,大田,1,1,1,1,0,4,2699
286,セントヒルズ北千住,50.53,3.24,12203 days,足立,2,1,1,1,0,5,2699
287,ニュー高円寺コーポラス,51.05,7.57,17255 days,杉並,2,1,1,1,0,5,2699
288,ラポール上野毛,41.65,5.81,16890 days,世田谷,2,0,1,1,0,4,2699
289,集成第一マンション,50.32,4.72,17255 days,杉並,2,1,1,1,0,5,2699
292,グローリオ千住新橋,65.76,9.17,6602 days,足立,3,1,1,1,0,6,2700
293,ライオンズマンション荻窪,43.74,7.56,17286 days,杉並,2,0,1,1,0,4,2720
294,ローヤルマンション葛西,54.45,6.6,15429 days,江戸川,3,0,1,1,0,5,2730
297,親水公園第2ダイアモンドマンション,60,7.5,4290 days,足立,2,1,1,1,1,6,2780
298,サンパーナ上落合,50.5,2.2,14303 days,新宿,2,1,1,1,0,5,2780
301,戸越サマリヤマンション,43.2,4.32,16404 days,品川,1,1,1,1,0,4,2780
302,セザール新小岩,72.34,22.46,11837 days,葛飾,3,1,1,1,0,6,2780
304,プロスペアー門前仲町第6,42.48,7.8,13573 days,江東,1,1,1,1,0,4,2780
305,マートルコート新小岩,62.17,7.14,9950 days,葛飾,2,1,1,1,0,5,2780
306,入谷松が谷マンション,46.35,4.82,16067 days,台東,2,0,1,1,0,4,2780
307,四谷軒第5経堂シティコーポ,50.43,-,16951 days,世田谷,2,1,1,1,0,5,2780
310,原宿第２コーポ,26.86,3,19751 days,渋谷,1,0,0,1,0,2,2780
311,入谷松が谷マンション,46.35,4.82,16067 days,台東,2,0,1,1,0,4,2780
312,亀戸２丁目団地　７号棟,51.84,-,18839 days,江東,1,1,1,1,1,5,2780
315,中銀若林マンシオン,41.56,3.82,14637 days,世田谷,1,1,1,1,0,4,2780
316,パールマンション東十条,43.47,5.25,13482 days,北,2,1,1,1,0,5,2780
317,【本日ご見学可能です】東海永代ハイツ,46.78,2.75,17743 days,江東,1,1,1,1,0,4,2780
321,ヴィラ外苑,37.75,-,19631 days,渋谷,1,0,0,0,0,1,2780
324,エルアルカサルフジ,48.6,6.04,14606 days,荒川,3,0,0,1,0,4,2780
325,ワコー第７大蔵マンション,48.6,4.28,16921 days,世田谷,2,1,1,1,0,5,2788
326,太平洋戸越マンション,39.61,2.17,19234 days,品川,1,1,1,1,0,4,2790
329,ライオンズマンション一之江弐番館,62.96,4.32,8397 days,江戸川,3,1,1,1,0,6,2798
330,マルカハイツ葛西,53.2,7,15552 days,江戸川,2,1,1,1,0,5,2798
331,田園第一守谷マンション,57.54,6.43,16951 days,大田,3,1,1,1,0,6,2799
332,桜上水ビューティーマンション,45.57,4.41,18139 days,杉並,2,1,1,1,0,5,2799
333,戸塚マンション,49.94,1,18200 days,新宿,1,1,1,1,0,4,2800
334,六義園第5コーポ,39.79,1,17074 days,文京,1,0,0,0,0,1,2800
336,セブンスターマンション第２五反田,47.13,6.82,14729 days,品川,2,0,1,1,1,5,2830
337,小野ビル,45.12,2.93,17013 days,豊島,2,1,1,1,0,5,2850
338,モアステージ墨田,81.05,10.03,11442 days,墨田,2,1,1,1,0,5,2850
339,コスモ江戸川クレドムール,75.21,10.8,7393 days,江戸川,3,1,1,1,0,6,2850
340,グローウィング城南,50.76,7.86,8977 days,大田,2,0,1,1,0,4,2850
343,成城マンション,57.54,-,19386 days,世田谷,2,1,1,1,0,5,2880
344,メゾン中野新橋,47.29,-,14394 days,中野,2,0,1,1,0,4,2880
345,東和パークハイツ墨田,62.46,-,9830 days,墨田,1,1,1,1,1,5,2880
346,ルックハイツ金町,57.4,6.72,14943 days,葛飾,3,1,1,1,0,6,2880
347,巣鴨陽光ハイツ,42.32,4.95,15764 days,豊島,2,0,1,1,0,4,2880
348,ハイツ上野毛,44.54,5.38,17590 days,世田谷,1,1,1,1,0,4,2880
349,エザンス高井戸,50.05,6.5,15460 days,杉並,2,1,1,1,0,5,2880
350,王子ビューハイツ,61.6,7.6,14912 days,北,3,1,1,1,0,6,2880
351,レック亀戸グリーンマンション,46.57,8.32,14606 days,江東,2,0,1,1,0,4,2880
355,ライオンズマンション亀戸,45.7,2.78,14729 days,江東,1,1,1,1,0,4,2880
356,トーキョーガーデンスイート,61.85,21.94,5110 days,足立,2,1,1,1,0,5,2880
358,フレンドマンション田柄,62.31,35.15,14333 days,練馬,3,1,1,1,0,6,2890
359,フレンドマンション田柄,62.31,35.35,14333 days,練馬,3,1,1,1,0,6,2890
360,コートハウス東品川,46.98,6.96,14821 days,品川,1,1,1,1,0,4,2890
363,六義園アビタシオン,40.27,6.43,16190 days,豊島,1,1,1,1,0,4,2898
364,豊島マンション,51.87,5.25,19326 days,豊島,3,1,1,1,0,6,2898
365,藤和白金台コープ,29.38,4.92,14759 days,港,1,1,1,1,0,4,2898
366,ビレッタ仲六郷,55.08,7.34,16860 days,大田,3,1,1,1,0,6,2899
367,井草サマリヤマンション,48.6,6.48,17378 days,杉並,2,1,1,1,0,5,2899
368,パボレアール四谷,42.9,3.7,18565 days,新宿,1,1,1,1,0,4,2899
371,レーベンハイム西新井セレンティーレ,77.46,11.3,6055 days,足立,2,1,1,1,0,5,2950
372,ツインシティ東砂アネックス,66.05,12.53,12142 days,江東,3,1,1,1,0,6,2980
375,パーク・ハイム中村橋,53.43,4.91,10529 days,練馬,2,1,1,1,0,5,2980
376,トーカンマンション青砥,65.59,10.87,14394 days,葛飾,2,1,1,1,0,5,2980
377,カーサ武蔵関,58.56,11.43,17347 days,練馬,2,1,1,1,0,5,2980
378,ビアメゾン小石川,42.07,-,13848 days,文京,1,1,1,1,0,4,2980
380,タックプラザ,41.44,-,14456 days,北,1,1,1,1,0,4,2980
381,旗の台コーポラス,50.22,2.6,18655 days,品川,2,1,1,1,0,5,2980
382,サンハイツ池袋,30.07,2.71,15337 days,豊島,1,0,1,1,0,3,2980
383,セイワパラシオン笹塚,36.54,3.71,16159 days,渋谷,1,1,1,1,0,4,2980
384,秀和中野本町レジデンス,42.8,-,18231 days,中野,1,1,1,1,0,4,2980
385,ヴェラハイツ押上,42.56,7.41,10712 days,墨田,2,0,1,1,0,4,2980
386,都立家政ガーデンハウス,52.96,2.67,10742 days,練馬,2,1,1,1,0,5,2980
387,セイワパラシオン笹塚,36.54,3.71,16159 days,渋谷,1,1,1,1,0,4,2980
388,目黒第2コーポラス,45.36,-,19265 days,目黒,1,1,1,1,1,5,2980
389,パーク・ハイム中村橋,53.43,4.91,10376 days,練馬,2,1,1,1,0,5,2980
391,ライフプラザ綾瀬,67.18,8.08,8885 days,足立,3,1,1,1,0,6,2980
392,大島３丁目団地,54.81,8.18,18624 days,江東,2,1,1,1,1,6,2980
393,ライオンズマンション荒川自然公園,48,8.76,11107 days,荒川,2,1,1,1,0,5,2980
394,メガロン大森,43.27,5.4,16617 days,大田,2,0,1,1,0,4,2980
395,ライオンズマンション東中野,46.23,-,14394 days,中野,1,1,1,1,0,4,2980
396,メゾンドール北参道,30.88,1.8,14790 days,渋谷,1,0,0,1,0,2,2980
397,クリオレジダンス東京,41.8,7.6,7667 days,江東,1,0,1,1,0,3,2980
398,日神デュオステージ浅草今戸,40.32,5.04,4379 days,台東,1,1,1,1,0,4,2980
399,シティプラザ大森,43.94,2.97,14152 days,品川,2,0,1,1,0,4,2980
400,駒込コーポラス,54.97,16.69,17956 days,豊島,2,1,1,1,0,5,2980
402,ニューハイム坂町,38.88,5.38,16860 days,新宿,1,1,1,1,0,4,2990
403,セブンスターマンション第３大森,40.95,6.18,16525 days,品川,1,1,1,1,0,4,2990
405,エンゼルハイム鹿浜第3,75.24,15.56,11656 days,足立,3,1,1,1,0,6,2990
406,弦巻リハイム,49.89,12.3,17135 days,世田谷,2,0,1,1,0,4,2990
407,エンゼルハイム鹿浜第3　最上階,75.24,15.56,11656 days,足立,3,1,1,1,0,6,2990
408,給田南住宅2号棟,64.93,7,18139 days,世田谷,3,1,1,1,0,6,2998
409,三軒茶屋サンハイツ,41.76,5.42,15613 days,世田谷,1,1,1,1,0,4,2998
410,給田南住宅２号棟,64.93,7,18139 days,世田谷,3,0,1,1,0,5,2998
411,三軒茶屋サンハイツ,41.76,5.42,15613 days,世田谷,1,1,1,1,0,4,2998
412,マリンアーク綾瀬,61.83,5.72,9465 days,足立,2,1,1,1,0,5,2998
413,マリンアーク綾瀬,61.83,5.72,9465 days,足立,2,1,1,1,0,5,2998
414,三軒茶屋サンハイツ,41.76,5.42,15613 days,世田谷,1,1,1,1,0,4,2998
415,給田南住宅,64.93,7,18139 days,世田谷,3,0,1,1,0,5,2998
416,藤和氷川台コープ,45.1,5.5,13482 days,練馬,2,1,1,1,0,5,2998
417,ワコー東日本橋マンション,37.81,3.7,14912 days,中央,1,1,1,1,0,4,2998
418,南砂一丁目エステート２号棟,79.09,11.28,14606 days,江東,3,1,1,1,0,6,2999
419,ライオンズマンション北千住第７,50.4,6.75,9677 days,足立,2,1,1,1,0,5,2999
420,グランイーグル南砂町,58.48,5.83,8762 days,江東,2,1,1,1,0,5,2999
421,東建池袋要町マンション,38.88,7.56,17956 days,豊島,1,1,1,1,0,4,2999
422,冨士見台ハイツ,59.59,8.12,19142 days,練馬,2,1,1,1,0,5,2999
423,南砂一丁目エステート第２号棟,79.09,11.28,14606 days,江東,3,1,1,1,0,6,2999
424,上野入谷シティハウス,44.79,2.83,11291 days,台東,1,1,1,1,0,4,2999
426,ライオンズマンション船堀親水公園,69,8.4,9493 days,江戸川,3,1,1,1,0,6,2999
427,成城レインボーハイツ,61.74,8.5,15490 days,世田谷,1,1,1,1,0,4,3000
428,ウイン目黒,32.53,6,13695 days,目黒,1,0,0,0,0,1,3000
429,ライオンズマンション四ツ木第２,50.85,-,11077 days,葛飾,2,1,1,1,0,5,3050
430,西蒲田スカイハイツ,49.5,6.05,17013 days,大田,1,1,1,1,0,4,3080
431,西蒲田スカイハイツ,49.5,6.05,17013 days,大田,1,1,1,1,0,4,3080
432,田園第一守谷マンション,61.05,7.2,18777 days,大田,3,1,1,1,0,6,3080
435,エンゼルハイム大鳥居,56.7,14.57,14698 days,大田,3,1,1,1,0,6,3080
440,王子ビューハイツ,61.6,7.6,14912 days,北,3,1,1,1,0,6,3080
441,飯田グループの窓口対応　～新価格～　西蒲田スカイハイ…,49.5,6.05,15187 days,大田,1,1,1,1,0,4,3080
442,コープ野村王子東,54.82,9.36,13117 days,北,2,1,1,1,0,5,3090
443,金町パークホームズ,62.01,10.19,10560 days,葛飾,3,1,1,1,0,6,3090
445,ワコー亀戸マンション,58.02,3.71,14182 days,江東,2,1,1,1,0,5,3098
446,ワコー亀戸マンション,58.02,3.71,14182 days,江東,2,1,1,1,0,5,3098
447,セザールリバーサイド王子神谷,62.82,6.74,8185 days,足立,3,1,1,1,0,6,3098
448,メローナ日本橋,46.5,6.12,14364 days,中央,1,1,1,1,0,4,3098
449,ペガサスマンション本郷,32.84,2.52,13421 days,文京,1,0,1,1,0,3,3099
450,城北台マンション,39.89,4.08,18565 days,新宿,1,1,1,1,0,4,3099
451,ＭＡＣ青南マンション,34.82,11.39,19295 days,港,1,0,1,1,0,3,3099
452,ＳＳＫグリーンパーク仲町,59.64,9.2,12568 days,足立,3,1,1,1,0,6,3099
453,センチュリー西新井Ⅱ,59.59,18.82,8155 days,足立,2,1,1,1,0,5,3099
454,マック青南マンション,34.82,11.39,19295 days,港,1,0,1,1,0,3,3099
455,マンションVIP柏木,46.9,6.66,18170 days,新宿,2,1,1,1,0,5,3099
456,Ｄ’クラディア竹ノ塚,65.6,5.04,5263 days,足立,3,1,1,1,0,6,3099
457,恵比寿ハイツ,37.63,-,19600 days,渋谷,1,1,1,1,0,4,3099
458,マンションVIP柏木,46.9,6.66,18170 days,新宿,2,1,1,1,0,5,3099
459,城北台マンション　,39.88,4.08,18565 days,新宿,1,1,1,1,0,4,3099
460,ライオンズガーデン東向島,62.08,1,8915 days,墨田,2,1,1,1,1,6,3130
461,ライオンズガーデン東向島,62.08,-,8915 days,墨田,2,1,1,1,1,6,3130
462,レジデンシャルスター三ノ輪,40.21,4.03,4532 days,荒川,1,1,1,1,0,4,3150
463,モブラーノモトビル,58.69,5.35,18017 days,世田谷,2,1,1,1,0,5,3180
464,メゾンドール北参道,30.08,1.8,14790 days,渋谷,1,0,0,0,0,1,3180
465,べウラ大泉学園,72,9.55,10985 days,練馬,2,1,1,1,1,6,3180
467,両国サンハイツ,44.24,6.14,15582 days,墨田,1,1,1,1,0,4,3180
469,藤和亀戸南公園コープ,59.65,9.81,14213 days,江東,2,1,1,1,0,5,3180
470,モブラーノモトビル,58.69,5.35,18017 days,世田谷,2,1,1,1,0,5,3180
